building_ID,CVRMSE,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM,Avg_Test_Loss
eMARC-1H_H134,1.4082803608197805,140.8280395367424,0.029326752,0.27868932,0.0046853255,0.4231093,0.15410983208238482
eMARC-1H_H010,1.368206952996138,136.82069973066638,0.15791848,0.31181785,0.13557978,0.52860445,0.166910140513286
eMARC-1H_H042,0.7799466341445537,77.9946662787521,0.62732935,0.42673582,1.4358542,0.66441184,0.21062354161095348
eMARC-1H_H057,1.524121291098074,152.41212857683655,0.12198658,0.29956123,0.08103371,0.4886668,0.15707836719997814
eMARC-1H_H004,1.1344221754058348,113.44221911304753,0.50319356,0.27019578,1.3057865,0.37649485,0.1366343204506164
eMARC-1H_H052,1.6296672855768837,162.96673169474462,0.043689966,0.21159774,0.015564684,0.3650892,0.11345717559230271
eMARC-1H_H084,1.7863970552460382,178.6396957197228,0.14589271,0.206183,0.2213907,0.44217882,0.10798100872919283
eMARC-1H_H122,1.1847888705743572,118.47889208999527,0.22937949,0.18105617,0.4229175,0.26349545,0.08845955486902925
eMARC-1H_H066,2.0952826954334665,209.5282788686856,0.010354701,0.15654378,0.0013462277,0.30769116,0.08448220702054908
eMARC-1H_H019,0.7491159686530715,74.91159812101085,0.21410495,0.28194723,0.21445018,0.37188488,0.11171445785168634
eMARC-1H_H091,0.6332276320209265,63.32276263255644,0.12216039,0.21583429,0.07611911,0.23761491,0.08959887117071953
eMARC-1H_H069,0.8267005955522535,82.67005748956615,0.34598893,0.30387017,0.40393573,0.31157607,0.13678055314947876
eMARC-1H_H037,0.5309899372213172,53.09899384022414,0.3786471,0.38559437,0.45013377,0.46680307,0.16504787773938107
eMARC-1H_H125,0.787069816343681,78.70698217536963,0.046330664,0.18031521,0.0120957475,0.18321468,0.07848740783324677
eMARC-1H_H089,0.9214296927652899,92.14296836354066,0.16494332,0.2381252,0.160122,0.33372784,0.11694697195405009
eMARC-1H_H099,1.2180757144014454,121.80756938463969,0.13520649,0.30672008,0.08711104,0.44829348,0.16280645827391507
eMARC-1H_H018,0.9826359181593325,98.26359186820622,0.48598737,0.48866805,0.72522926,0.7332519,0.25345388995099216
eMARC-1H_H136,1.4451365093337138,144.51364936089962,0.24777028,0.25997788,0.41521674,0.45714006,0.1418686237527842
eMARC-1H_H115,1.0824422381072818,108.2442260184526,0.43113872,0.2299242,1.0801386,0.30719548,0.12083047548506264
eMARC-1H_H043,0.41993993630034715,41.99399522343717,0.14094974,0.33849445,0.05554715,0.3203586,0.1295973728466213
eMARC-1H_H090,1.531803344806137,153.18033959265367,0.14234683,0.21341772,0.19792724,0.44490883,0.10867396938107722
eMARC-1H_H032,0.7111964895147708,71.11964784587238,0.10390406,0.28496566,0.04576552,0.34423777,0.11568465085024977
eMARC-1H_H133,0.8424046204538977,84.24046155966116,0.125136,0.17937653,0.1145041,0.23528145,0.08122077976822263
eMARC-1H_H137,0.6176981884076352,61.76982039760889,0.0857288,0.19502272,0.03586908,0.18562536,0.07920981394861842
