building_ID,CVRMSE,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM,Avg_Test_Loss
Mathura_2021_MH39,2.5246070364140385,252.46071527225274,0.046154868,0.5534728,0.007500683,1.0785949,0.31173605302518065
Mathura_2020_MH24,3.347505972932257,334.75060604471946,0.13584287,0.44959676,0.09832783,1.0770828,0.25661328575907216
Mathura_2021_MH26,2.884974937711003,288.4974880260443,0.014853645,0.50623703,0.0008191211,0.9514584,0.265724214101035
Mathura_2020_MH33,3.5290562704466457,352.9056264401517,0.084259324,0.4882663,0.03702027,1.2431316,0.2870257869994765
Mathura_2020_MH42,0.8170934048614713,81.7093437099148,0.10551171,0.55775255,0.022286592,0.622767,0.2659951376973218
Mathura_2020_MH27,2.585375860093848,258.5375748204145,0.1718397,0.4337544,0.16335823,1.0408349,0.24019835908073517
Mathura_2020_MH17,2.3169883165432203,231.69882271492855,0.023571568,0.4222593,0.0025794422,0.82776535,0.22500804436864166
Mathura_2019_MH09,0.5870403787309451,58.70403806296743,0.061805908,0.4276502,0.009699209,0.4643589,0.18129034725041324
Mathura_2021_MH06,1.8990954998176202,189.90954568136186,0.10007903,0.57876277,0.029040683,0.97122943,0.2959555752829395
Mathura_2020_MH26,3.4688417409712673,346.8841677920742,0.04357983,0.4558654,0.010672792,1.1678317,0.28073603309317063
Mathura_2019_MH36,0.8270455590589059,82.70455531662657,0.30765104,0.50626534,0.21634364,0.58584625,0.24460641467436184
Mathura_2019_MH23,0.7194793514229876,71.94793403988137,0.27588183,0.35954252,0.24394172,0.41432425,0.15830339123619655
Mathura_2020_MH30,1.5387090677397641,153.8709068965279,0.06688839,0.7441261,0.008752535,1.0832416,0.4156538932522614
Mathura_2019_MH35,0.6983947969765192,69.83948110056383,0.10281103,0.51205796,0.023662396,0.5869723,0.24618857277142953
Mathura_2021_MH36,0.5738099552996095,57.38099726789082,0.06170361,0.44117042,0.010538594,0.53873396,0.20166385592892766
Mathura_2020_MH11,0.4547515583671789,45.47515682033409,0.13033299,0.36339784,0.04289575,0.33348036,0.14477800902544746
Mathura_2020_MH02,0.6318040740239214,63.18040766181128,0.22529614,0.29291406,0.16019544,0.27078414,0.11831043827414177
Mathura_2019_MH06,0.563631695113645,56.36317181164025,0.09596541,0.47561133,0.02043756,0.50200033,0.20992826227467515
Mathura_2021_MH28,1.3403647968640393,134.03647843229336,0.0067296317,0.72514194,0.0001021581,1.1861408,0.3810532594268972
Mathura_2021_MH24,2.5426821406783655,254.26820829032644,0.12736095,0.48962483,0.06383211,0.9433947,0.2584370871455493
Mathura_2021_MH09,2.2934718130146585,229.3471910317322,0.0768604,0.43125162,0.029196624,0.91915506,0.24469356298107992
Mathura_2019_MH21,0.6996894015532761,69.96894085910704,0.20584077,0.4536054,0.1020087,0.49537137,0.21031617030145272
Mathura_2021_MH10,0.4039212868899852,40.3921277196209,0.053352796,0.5980905,0.005775816,0.72582656,0.2913384755057367
