building_ID,CVRMSE,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM,Avg_Test_Loss
Ireland_residential_KW_H20,0.9669003928063995,96.69003569603518,12.878718,0.4635488,501.82996,0.6501331,0.2269409661567809
Ireland_residential_KW_H12,0.8463612757039894,84.63612691382647,9.30869,0.50373,282.56934,0.8274536,0.25324270585007075
Ireland_residential_KW_H19,0.6976409222054444,69.76409145767086,16.697464,0.60286546,584.6271,0.76211196,0.2951788567421662
Ireland_residential_KW_H13,0.7748455160143074,77.48454887199675,8.627513,0.54860955,214.54565,0.86751145,0.26735503944694156
