building_ID,CVRMSE,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM,Avg_Test_Loss
enernoc_10,0.11397521672601162,11.397521921912086,282.33966,0.36342826,190990.28,0.31644985,0.13219988423796541
enernoc_56,0.15727331490385574,15.727330956199976,99.26891,0.17900556,26469.63,0.086070515,0.0407917331430729
enernoc_136,0.39230065993777613,39.23006748352763,23.6636,0.3271634,1392.9595,0.26626024,0.11140292288325623
enernoc_304,0.05209156765787491,5.209156488662982,5.261669,0.2516711,55.085346,0.12602471,0.05796847416445986
enernoc_25,0.3350478056565658,33.50477965923062,254.71611,0.3315837,127121.37,0.21542302,0.10346760271275338
enernoc_761,0.7199276490184148,71.99276333975848,189.8213,0.5910981,61606.105,0.5973831,0.27278455708974914
enernoc_49,0.2002693691783397,20.026937344762764,20.144995,0.25166583,1003.4827,0.15661167,0.07306153968094607
enernoc_731,0.9273296341512127,92.73296342095422,16.289986,0.37999186,681.68866,0.3709311,0.15886311294591382
enernoc_703,0.20636199265822078,20.636200030705712,33.985996,0.26966006,3352.1929,0.21103875,0.09302859608678038
enernoc_45,0.11397522443283416,11.39752237934897,282.68332,0.36342826,191455.53,0.31644988,0.13219988666614907
enernoc_737,0.21254780776771054,21.254780318065777,96.55363,0.49212566,16479.477,0.4281129,0.19633549942134318
enernoc_765,0.3337187957501049,33.37187947432206,32.249893,0.49140418,2065.2288,0.47950068,0.21739975138811243
enernoc_401,0.05948307287161568,5.948307034248081,5.6116824,0.22334754,62.85767,0.099571384,0.04754111535255706
enernoc_716,0.1139706519076812,11.39706549369076,278.14688,0.3633714,185423.53,0.3164593,0.13219932707358661
enernoc_427,0.04260643474887081,4.260643291239002,4.943809,0.18982135,47.09002,0.069421746,0.033461156257098765
enernoc_718,0.2434514485271262,24.34514365768892,317.394,0.53114116,251428.67,0.7041048,0.26126896262864135
enernoc_766,0.1329035122481889,13.2903510424813,387.79053,0.5597015,273146.75,0.569003,0.24533952865490177
enernoc_228,0.2982157937184739,29.82157867502554,10.63854,0.26628822,276.73456,0.1733817,0.07923264712715278
enernoc_808,0.33652239407769197,33.652239737264786,16.000055,0.2419475,717.28345,0.16401745,0.07389532197020367
enernoc_21,0.3350478424056012,33.5047856435195,262.4008,0.3315837,134907.44,0.21542299,0.10346759422319037
